Coin,Price,24H Volume,Market Cap,Circulating Supply
NAUT,0.06342576659999999,0,0,0
NAV,0.142369854,163722.5025504462,10514562.471800294,0
NYBBLE
NET,0.22066817,0,0,0
NMB
NRB,0.002157632,0,0,0
NOBL,0.0010787925,0,0,0
NRS,1.14353595,0,0,0
NVC,1.00000001,21040.76741201767,3764975.5255777542,0
NMC,0.28277177,0,5159849.595898,0
NYAN,1.6998670722,0,0,0
ORBITCOIN,1.1589226506,0,0,0
OPSC
PHS,0.05393755000000001,0,0,0
POINTS
POT,0.0015102066,506.0419152862501,343792.6795352614,0
PSEUD
PXC,0.00101198475,0,0,0
PYC
RDD,0.000359784,75.12446490281764,11180378.992038732,0
RIPO,0.02158196,0,0,0
RPC,0.05479782,0,0,0
RT2
RYC
RZR,0.1702868718,0,0,0
SAT2,0.229862,0,0,0
SBC,0.0015,0,0,0
SDC,1.1041233532,0,0,0
SFR,0.0114385183,0,0,0
SHADE
SHLD,0.0001704248,0,0,0
SILK,0.239943468,0,0,0
SLG,0.1523718852,0,0,0
SMC,0.003,0,0,0
SOLE
SPAIN,1.21737e-05,0,0,0
SPOTS,0.00061843,0.10000000999798614,0,0
SRC,0.0019419642,0,0,0
SSVCOIN
XLM,0.1139,57565314.97629069,5695203618.788297,25066973566.51833
SUPERC,0.01523919,0,825821.773977211,0
SWIFT,0.109539,0,0,0
SYNCC,919.5702929664,0,0,0
SYS,0.14631216,2540846.6617371226,95163724.74646395,0
TAG
TAK,1.367e-05,0,0,0
TES,0.00116984,0,0,0
TGC,0.007595439999999999,0,0,0
TIT,0.000791232,0,0,0
TORCOIN,0.26328454,0,0,0
TRC,0.1762233204,0,0,0
TITC,2.43436e-05,0.004404508746893751,0,0
ULTC,1e-07,0,0,0
UNBREAKABLE,0.3792285959,0,0,0
UNO,13.39196,0,0,0
URO,0.0062,0,0,0
USDE,2.216e-05,0,0,0
UTC,0.0466153704,0,0,0
UTIL,0.1413785405,0,0,0
VDO,0.0118703255,0,0,0
VIA,0.0876331106,7439.585218351826,2030895.286522363,0
VOOT,0.092804363,0,0,0
VRC,0.0012948972,2.3554042854811996e-15,45632.57201517111,0
VTC,0.1351150262,2875.722808528227,8717329.144289402,0
WDC,0.00314811,0,0,0
XBOT
XC,3.4008484204,0,0,0
XCR,0.0865436997,0,0,0
XJO,0.00175327,0,0,0
XLB
XPM,0.005,0,0,0
XST,0.008632788,130.6652971761658,0,0
XXX,0.1076940303,0,0,0
YAC,0.006043041200000001,0,0,0
ZCC,0.7550264665,0,0,0
ZED
BCN,5.370775599999999e-05,1213.6239309872121,9907332.297052383,0
EKN,0.0563223906,0,0,0
XDN,6.83962053e-05,0,553802.9386758138,0
XAU,0.00486764,0,0,0
TMC,21.87398772,0,0,0
XEM,0.041245238,8314828.119362291,371207141.9587547,8999999999
SIGNA,0.0030200772,1759.495684293032,6475899.29262444,2144282700
USNBT,0.210534424,0,0,0
SJCX,0.0008628432000000001,0,0,0
START,0.00058702,0,0,0
HUGE,0.0019413873,0,0,0
XCP,2.5884852,196.7248752,6735319.936262023,0
MAID,0.2312377968,13574.082430147882,104647222.68740588,0
007,1.184231979,0,0,0
NSR,121.69998783,0,75200566.90502097,0
MONA,0.518743589,165488.17603980622,44847380.4171246,0
SOLARFARM,0.108059187,0,0,0
TEK,3.6e-06,0,0,0
BAY,0.54967,0,0,0
NTRN,0.00045298449,0,0,0
SLING,0.00962513,0,0,0
XVC,0.0448682624,0,0,0
CRAVE,0.5850223344,0,0,0
BLOCKN,0.1768938,0,1562805.399972367,0
XSI,0.4314306,0,0,0
BYC,0.179041624,0,0,0
GRIDCOIN,0.001001003005011021,0,0,0
GEMZ,0.0209241416,0,0,0
KTK,0.3,0,0,0
