Time,Volume (in USD),Volume (in INR),Volume (in EUR)
1654434000,514993169.02,42833996068.39,481075236.23
1654437600,599506308.06,49991677620.25,559834721.14
1654441200,790093289.23,65410994652.9,737706305.39
1654444800,1161054591.11,98855725333.24,1084317566.14
1654448400,810151707.77,67796217807.99,756684880.47
1654452000,524102376.64,43314779613.24,489470158.03
1654455600,464920185.64,37225169020.22,434193257.14
1654459200,588342646.66,49134564892.45,549180300.96
1654462800,510215078.14,42591032530.93,476122027.55
1654466400,709449381.97,59112355546.98,661751435.07
1654470000,650778021.97,54414058613.38,607111885.22
1654473600,1157857741.34,95577135460.64,1080386036.41
1654477200,1766664605.33,143875805592.69,1647477780.59
1654480800,1254324705.35,101865205538.83,1170302929.5
1654484400,1446443115.08,117999082592.27,1348773178.31
1654488000,1055755338.47,98060162451.25,984369483.68
1654491600,843940932.38,70094889074.68,786390514.63
1654495200,1254532566.45,103659605223.85,1169679639.02
1654498800,1208913862.94,100110760117.09,1125134305.47
1654502400,1318708880.18,105987134235.36,1226488514.36
1654506000,1079853483.65,86024626767.75,1004635905.62
1654509600,919627955.67,75624464210.35,857256878.38
1654513200,1298816902.65,103782494392.64,1210491695.73
1654516800,1060768935.2,84753687598.76,989496742.76
1654520400,1560271665.68,124940914424.54,1456189392.77
1654524000,1684989673.73,138717987735.46,1571733847.97
1654527600,1880172832.64,158603324900.1,1757454744.75
1654531200,1400342840.14,116637384036.46,1308606914.41
1654534800,1187069808.64,98796993100.81,1109586875.65
1654538400,788855912.49,65916600595.42,737859653.41
1654542000,747522487.15,62712101449.68,699042727.29
1654545600,975936159.14,77837301740.9,912566289.65
1654549200,754082879.34,60039350685.15,705278226.65
1654552800,662734171.15,52549121532.15,619936863.44
1654556400,646612767.39,55264678369.12,604942928.51
1654560000,3393186627.93,301312029764.53,3176213356.03
1654563600,2618595619.34,220721687208.51,2452095913.67
1654567200,1736733701.49,141558755833.98,1626719578.28
1654570800,1347507723.43,108384064708.84,1262344641.98
1654574400,1040458724.82,87571121746.78,974168730
1654578000,1027473390.49,87556542916.52,962149768.64
1654581600,783934833.97,66741280709.6,734010883.56
1654585200,836962556.52,71059020259.27,783501582.74
1654588800,907747891.54,76496760436.61,850200910.42
