Time,Volume (in USD),Volume (in INR),Volume (in EUR)
1656021600,1383733797.58,124905991989.45,1314223730.65
1656025200,777116891.59,69733217714.61,738345412.91
1656028800,1113402543.14,99772299006.93,1058560538.58
1656032400,1070918047.01,86588598547.71,1016609854.28
1656036000,1157295047.14,92180569616.8,1098678580.72
1656039600,808252494.86,65842440625.01,767112822.55
1656043200,840339431.39,73125082996.72,797419405.04
1656046800,741818342.96,64232152310.73,703306718.93
1656050400,813920352.89,67038719327.4,772682461.77
1656054000,1166827006.42,99127253666.9,1108503877.89
1656057600,998688400.75,83485816737.3,947256282.55
1656061200,915306731.08,77888951681.84,867486015.26
1656064800,756103457.58,63412953136.52,717391709.78
1656068400,1940454335.98,157067059309.56,1844920293.41
1656072000,1750577250.63,147859019466.67,1662822386.51
1656075600,1357703073.25,110641432800,1288931025.3
1656079200,1358744429.27,111787385362.53,1288624230.19
1656082800,1211025757.24,98992705901.6,1149537817.96
1656086400,1147223075.37,98613026161.99,1088138114.51
1656090000,1289526495.05,110390150263.24,1224476239.07
1656093600,883188807.62,75514840723.79,837504593.8
1656097200,877248392.83,71665193123.81,830802798.19
1656100800,1062886853.66,87055936832.77,1007150130.33
1656104400,687760456.61,56000437497.38,651547756.73
1656108000,1140861920.97,92858317702.72,1081485745.7
1656111600,882531346.24,72109909182.86,836085808.5
1656115200,1226124851.51,100158627074.14,1161533581.93
1656118800,713908010.3,64973234480.9,676309984.64
1656122400,806274621.96,69218290756.54,764297536.82
1656126000,701091703.05,59945964069.97,664475262.17
1656129600,636390175.91,54366426784.65,603181494.45
1656133200,720251983.3,60992644261.19,682944116.94
1656136800,626737981.32,51224167343.04,594212975.42
1656140400,1113456214.89,93201454627.99,1056030864.77
1656144000,757759755.17,64170697704.86,718980252
1656147600,640190000.01,54172319997.8,607416066.87
1656151200,610407525.58,51701175754.31,579127313.6
1656154800,676161821.48,55662560848.67,641527657.06
1656158400,1401401888.89,129297376833.14,1328670387.76
1656162000,919930495.38,79395380125.62,872562360.74
1656165600,673226895.5,57933659943.4,638746234.97
1656169200,958816658.62,80409044524.65,909889038.82
1656172800,689426058.02,59924324414.56,654040931.52
1656176400,685144560.03,57090274725.78,649925559.91
1656180000,652019544.41,55728288792.14,618367023.81
1656183600,593437654.91,51139666592.68,562912856.08
1656187200,494191983.64,42612407029.02,468861072.75
1656190800,1088351992.32,92735396600.63,1032208177.55
1656194400,781307429.24,66273021149.59,740913181.57
1656198000,616277685.94,45630177981.83,584657071.62
1656201600,793892639.72,64185287662.07,752970903.15
1656205200,854519617.29,69330082064.91,810424077.3
1656208800,557371936.84,47984005170.88,528323905.39
1656212400,395062863.47,30887492958.15,374703155.72
1656216000,476961816.24,41991100431.79,452366831.89
1656219600,420519092.87,36007173671.74,398810983.72
1656223200,710515887.49,61259446877.65,673974359.24
1656226800,621663632.44,53062159217.05,589735337.97
1656230400,577312174.07,49145826561.86,547834922.22
1656234000,699675110.12,59856211668.34,663959464.03
1656237600,521517354.21,45670410606.3,494864271.87
1656241200,1165858537.9,104727287120.54,1105682905.98
1656244800,1663350586.65,144227578333.73,1578295926.18
1656248400,1164619439.17,102442100168.95,1105020085.83
1656252000,605670985.62,47541101240.53,574778330.23
1656255600,1043432424.19,91760150099.74,990222107.61
1656259200,656998536.3,57868347834.09,623425000.78
1656262800,751098211.63,66126705265.72,712733677.57
1656266400,740742147.73,65578601719.01,703018950.99
1656270000,477477241.84,41995943104.7,453123813.77
1656273600,697856592.38,61160712975.46,661806222.94
1656277200,517409983.77,45322667019.51,490587392.73
1656280800,1343476006.5,119007489523.44,1272075148.52
1656284400,944046555.66,83000528646.38,893764675.96
1656288000,1097422856.13,97911051582,1039985755.31
1656291600,907168674.23,75365139672.4,859017779.59
1656295200,701437444.46,61396376041.42,664510788.45
1656298800,557512560.58,49437369240.93,528349519.85
1656302400,670755228.56,55897872189.35,634743733.54
1656306000,634973762.6,64601744925.38,601269503.53
1656309600,517235479.68,45049115222.47,489590913.68
1656313200,833256320.55,78566543521.99,786940321.44
1656316800,883525473.56,75636461139.7,835009152.32
1656320400,658078154.34,57066970736.53,622650477.22
1656324000,644418878.64,55780371347.38,608998256.95
1656327600,846990280.53,73911907437.45,801654285.59
1656331200,1085940827.52,91164380525.5,1027855296.75
1656334800,2165172714.61,194062138474.53,2047001592.34
1656338400,1935148374.9,164638362026.91,1827047560.22
1656342000,1042962790.33,83275403526.27,984385525.27
1656345600,870516553.83,75955223985.8,821153571.89
1656349200,664681329.04,55623340616.67,628016675.05
1656352800,1282990898.83,111153526024.97,1212645918.38
1656356400,740595573.86,64111509458.27,700418471.53
1656360000,534684354.52,46150306188.99,505397761.36
1656363600,404324389.2,35081842999.27,382140317.96
1656367200,839997416.06,72859308707.43,794090693.72
1656370800,731666585.58,63705162820.38,691220052.66
1656374400,952131559.17,82756734716.94,900178886.03
1656378000,1132222404.04,99368233327.61,1069344118.7
1656381600,1116514755.24,97764720242.75,1055456758.98
1656385200,866840291.64,71637294337.58,819247694.68
1656388800,552634872.32,47643699355.53,522591222.06
1656392400,590141566.15,48766262773.41,558170032.04
1656396000,743130906.43,63402058533.44,701838515.8
1656399600,809871862.25,68504217653.07,765694972.8
1656403200,1229955288.62,102879960187.86,1161940415.9
1656406800,988743114.97,83412036968.1,933988642.36
1656410400,747145721.08,61407546199.77,706327081.56
1656414000,853770975.07,72882244454.54,808074242.94
1656417600,951308937.29,78633477569.76,903110902.86
1656421200,1247350230.44,109101866470.7,1184423531.89
1656424800,1462676723.93,126197204009.76,1391468507.78
1656428400,1269037902.2,110417939339.21,1205064460.67
1656432000,1205010558.89,98832684141.8,1145180404.6
1656435600,1015090221.4,83566212680.73,963730976.86
1656439200,1479360302.66,128992243625.65,1406533515.4
1656442800,487316007.09,40771780362.56,463192132.82
